",",IMAGE,,BOX NO,SKU,,NOT SHOW,,link,COLOR,ok,AZMEER STATUS CHECK,Cetagory,live status, ,SELL PRICE,HUZIAF AUDIT,PRICE,TOTAL INSTOCK,1016,IN STOCK,COST,SHIPPING CHINA,TOTAL INR,FREIGHT,T.COST,SELL PRICE,TOTAL COST,2026798.78
,,,78,SK0953US-brown-40,Done ,DN,ok,FIX,brown,40,ok,formal,Yes ,ok,3373,,,,In Stock,,85,8,1209,1200,2409,3373,,
,,,79,tnv129,Done ,DN,ok,,blue,41,ok,semi slipper,Yes ,ok,3100,21993,,DAMAGE,In Stock,,70,8,1014,1200,2214,3100,,
,,ok,80,HSL-001-black-41,Done ,DN,ok,HSL-001-black-41,Black,41,ok,formal,,ok,2372,,,leather,In Stock,,30,8,494,1200,1694,2372,,
,,ok,81,c95-RED-41,Done ,DN,ok,FIX,Red,40,ok,loafers,Yes ,ok,2372,,,,In Stock,,30,8,494,1200,1694,2372,,
,,,82,3414238-orange-39,Done ,DN,ok,FIX,brown,39,ok,formal,Yes ,ok,3373,20341-20914-23025-24240,,,Damage SOLD OUT,,85,8,1209,1200,2409,3373,,
,,ok,83,gx20121-light brown-40,Done ,DN,ok,FIX,light brown ,40,ok,loafers,Yes ,ok,2827,,,,In Stock,,55,8,819,1200,2019,2827,,
,,ok,84,C88-gray-39,Done ,DN,ok,wrong image,Gray,39,ok,loafers,,OK,2372,,1999,,In Stock,,30,8,494,1200,1694,2372,,
,,ok,85,C95-brown-40,Done ,DN,ok,FIX,brown,40,ok,loafers,Yes ,ok,2372,,,,In Stock,,30,8,494,1200,1694,2372,,
,,,86,SG6885,Not show ,NOT SHOW,ok,FIX,brown,40,sold out show,Formal,Yes ,ok,3282,,,,Damage SOLD OUT,,80,8,1144,1200,2344,3282,,
,,,87,SK0957US-brown-43,Done ,DN,ok,FIX,brown,43,ok,Formal,Yes ,ok,3191,,,,Damage SOLD OUT,,75,8,1079,1200,2279,3191,,
,,ok,88,SK0730US,Done ,DN,ok,FIX,Black,41,ok,Semi slipper,Yes ,ok,3300,,,,In Stock,,81,8,1157,1200,2357,3300,,
,,ok,89,SK0936US-black-43,Done ,DN,ok,FIX,black,43,ok,Semi formal,Yes ,ok,3318,,,,In Stock,,82,8,1170,1200,2370,3318,,
,,ok,90,SK0957US-Black-42,Done ,DN,ok,FIX,black,42,ok,Formal,Yes ,ok,3209,,,,In Stock,,76,8,1092,1200,2292,3209,,
,,ok,91,SK0956US-Black-41,Done ,DN,ok,FIX,black,41,ok,Semi formal,Yes ,ok,3464,,,,In Stock,,90,8,1274,1200,2474,3464,,
,,ok,92,4495861-black-40,,,NO ,,black,40,,Designer,Yes ,ok,,,,,In Stock,,260,8,3484,1200,4684,6558,,
,,,93,tnv25,Done ,DN,ok,FIX,black,44,ok,Semi formal,Yes ,ok,4101,26623,,,In Stock,,125,8,1729,1200,2929,4101,,
,,ok,94,gx20121-light brown-40,Done ,DN,ok,FIX,light brown ,40,ok,loafers,Yes ,ok,2827,,,,In Stock,,55,8,819,1200,2019,2827,,
,,,95,3414575,,,,FIX,black,41,,loafers,Yes ,ok,2918,20770-20886-21161-21189-21602-21930-21957-22396-22910-23548-23898-23906-24480-26742,,G MISSING OUT,Sold Out,,60,8,884,1200,2084,2918,,
,,ok,96,2846736-black-40,Done ,DN,ok,,Black,40,ok,Semi formal,Yes ,ok,3373,21455-21838-23845-23866,,,In Stock,,85,8,1209,1200,2409,3373,,
